id,文具
1,笔袋
1,文件套
1,钢笔
2,电脑夹
2,橡皮
2,便利贴
3,中性笔
4,水彩笔
4,复写纸
4,便利贴
5,包装用品
5,书立
5,圆珠笔
5,中性笔
6,证书系列
6,中性笔
6,便利贴
7,铅笔
8,便签纸
8,圆珠笔
8,铅笔
8,用友耗材
9,起钉器
10,中性笔
11,胶带
11,印章箱
11,圆珠笔
11,橡皮
11,板夹
12,胶带
12,证书系列
12,笔袋
12,会议记录本
12,文件篮
12,凭证单据
12,橡皮
12,中性笔
12,便利贴
13,档案盒
14,印台
14,铅笔
14,无线装订本
15,无孔文件夹
15,橡皮
16,证书系列
16,笔筒
16,胶棒
16,毛笔
17,笔筒
18,打孔器
19,印章箱
20,资料架
21,圆珠笔
22,台座系列
22,剪刀
23,中性笔
24,水彩笔
24,白板笔
24,胶棒
24,皮面本
24,橡皮
25,蜡笔
25,凭证单据
25,胶带座
25,圆珠笔
25,铅笔
25,活页本
25,票据夹
25,橡皮
25,软笔
26,胶带
26,卡片袋
27,便利贴
28,印章箱
28,铅笔
28,仪尺
28,无线装订本
29,圆珠笔
30,档案袋
30,卡片袋
30,笔筒
30,胶棒
30,修正带
30,无线装订本
31,削笔刀
31,胶带
31,资料架
31,便利贴
32,胶带
32,墨水笔芯
32,钥匙管理
32,号码机
32,圆珠笔
32,铅笔
33,削笔刀
33,圆珠笔
33,活页本
33,毛笔
33,中性笔
34,手提金库
34,圆珠笔
34,账本账册
34,无线装订本
34,名片盒
34,中性笔
35,档案盒
35,白板笔
35,记号笔
36,剪刀
36,无线装订本
37,笔筒
38,卡片袋
39,文件柜
39,圆珠笔
39,活页本
39,中性笔
40,笔袋
40,胶棒
41,卡片袋
41,铅笔
41,仪尺
41,修正带
41,无线装订本
41,资料架
42,档案袋
42,蜡笔
42,电脑夹
42,订书机
42,剪刀
42,活页本
42,无线装订本
42,毛笔
42,橡皮
42,软笔
42,中性笔
42,便利贴
43,手提金库
43,便利贴
44,卡片袋
45,胶带
45,台座系列
45,水彩笔
45,胶棒
45,铅笔
45,无线装订本
45,报刊架
45,便利贴
46,电脑夹
47,胶带
47,剪刀
48,铅笔
49,修正液
50,胶带
50,证书系列
50,会议记录本
50,分类文件夹
50,书立
50,圆珠笔
50,铅笔
50,活页本
50,用友耗材
50,名片盒
51,相册
51,胶棒
51,铅笔
51,仪尺
52,卡片袋
53,记号笔
53,计算器
53,圆珠笔
53,中性笔
54,白板系列
54,档案袋
54,会议记录本
54,订书机
54,笔筒
54,文件套
54,圆珠笔
54,钢笔
54,橡皮
55,图纸夹
55,皮面本
55,无线装订本
55,中性笔
55,便利贴
56,会议记录本
56,剪刀
56,中性笔
56,便利贴
57,档案袋
57,卡片袋
57,打孔器
58,胶带
58,票夹
58,钥匙管理
58,号码机
58,资料册
58,铅笔
59,档案盒
59,相册
59,计算器
59,炭笔
59,铅笔
59,名片盒
60,剪刀
60,铅笔
60,毛笔
61,有孔文件夹
61,白板笔
61,支票夹
61,圆珠笔
61,票据夹
61,挂劳夹
61,中性笔
62,剪刀
62,仪尺
63,档案盒
63,仪尺
63,中性笔
64,档案袋
64,印台
64,铅笔
64,毛笔
64,橡皮
65,剪刀
65,铅笔
65,无线装订本
66,中性笔
67,电脑夹
68,胶棒
68,美工刀
69,会议记录本
69,仪尺
69,中性笔
70,手提金库
70,印章箱
70,图纸夹
70,复写纸
70,铅笔
70,橡皮
70,中性笔
71,美工刀
72,证书系列
72,报告夹
72,文件套
72,CD包/册
72,中性笔
73,笔袋
73,订书机
73,印台
73,胶棒
73,资料册
73,CD包/册
73,中性笔
74,无线装订本
74,中性笔
76,圆珠笔
76,铅笔
76,毛笔
76,中性笔
77,台座系列
77,笔袋
77,会议记录本
77,剪刀
77,中性笔
78,便签纸
78,胶带
78,凭证单据
78,笔筒
78,拉链袋
79,便签纸
79,胶带
79,无线装订本
79,毛笔
80,电脑夹
80,螺旋本
81,印章箱
82,POP笔
82,订书机
82,支票夹
82,笔筒
82,文件套
82,资料册
82,铅笔
82,活页本
82,中性笔
83,支票夹
83,分类文件夹
83,荧光笔
83,活页本
84,包装用品
84,支票夹
84,拍纸本
84,资料册
